record_id,date,district,block,program,activity_type,field_worker,beneficiaries_registered,beneficiaries_attended,sessions_planned,sessions_completed,baseline_score,endline_score,women_count,youth_count,sc_count,st_count,minority_count,persons_with_disability_count,total_cost,followup_completed,issue_count,data_quality_flag
REC-0001,2026-01-05,Tehri Garhwal,Narendranagar,Women Entrepreneurship,Workshop,FW-005,85,73,1,1,32.0,52.7,51,21,13,4,15,2,21020.0,41,0,Clean
REC-0002,2026-01-05,Tehri Garhwal,Pratapnagar,Skill Training,Training Session,FW-001,54,41,4,4,43.5,56.9,21,17,4,1,6,1,9455.0,25,0,Clean
REC-0003,2026-01-09,Dehradun,Raipur,Health Awareness,Camp,FW-004,72,61,1,0,50.4,60.4,43,23,9,5,3,1,14911.0,50,0,Clean
REC-0004,2026-01-09,Pauri Garhwal,Dugadda,Skill Training,Camp,FW-004,87,62,1,1,36.3,58.2,39,33,13,4,8,1,13662.0,52,0,Clean
REC-0005,2026-01-09,Haridwar,Bahadrabad,Digital Literacy,Follow-up Visit,FW-008,133,100,2,2,40.7,59.7,66,40,24,3,4,1,17614.0,60,0,Clean
REC-0006,2026-01-13,Dehradun,Sahaspur,Health Awareness,Follow-up Visit,FW-006,54,41,2,2,28.1,33.4,20,24,10,3,3,1,10048.0,23,0,Clean
REC-0007,2026-01-13,Dehradun,Doiwala,Health Awareness,Training Session,FW-001,138,101,3,3,47.4,57.8,74,53,23,6,15,3,21513.0,73,0,Clean
REC-0008,2026-01-13,Haridwar,Bahadrabad,Digital Literacy,Workshop,FW-004,112,93,1,0,35.7,51.4,52,43,9,10,11,3,25636.0,69,0,Clean
REC-0009,2026-01-17,Pauri Garhwal,Dugadda,Digital Literacy,Camp,FW-003,144,118,2,1,43.6,68.0,87,35,23,3,18,2,28778.0,102,0,Clean
REC-0010,2026-01-17,Haridwar,Roorkee Rural,Digital Literacy,Training Session,FW-008,61,50,3,3,36.8,59.8,27,30,7,3,4,2,13122.0,43,0,Clean
REC-0011,2026-01-17,Haridwar,Roorkee Rural,Women Entrepreneurship,Camp,FW-006,60,49,4,4,47.2,64.7,28,13,11,2,10,0,16420.0,37,0,Clean
